
[25/05/2023 22:37:05]: Carolyn Henry... ssn: 700-82-9042, edad: 76, temperatura: 36.4, ritmo cardiaco: 115, presión arterial: 143, dispositivo: 86787690
[25/05/2023 22:37:10]: Carolyn Henry... ssn: 700-82-9042, edad: 76, temperatura: 37.1, ritmo cardiaco: 115, presión arterial: 146, dispositivo: 86787690
[25/05/2023 22:37:15]: Carolyn Henry... ssn: 700-82-9042, edad: 76, temperatura: 33.7, ritmo cardiaco: 91, presión arterial: 164, dispositivo: 86787690
[25/05/2023 22:37:21]: Carolyn Henry... ssn: 700-82-9042, edad: 76, temperatura: 37.6, ritmo cardiaco: 86, presión arterial: 189, dispositivo: 86787690
[25/05/2023 22:37:26]: Carolyn Henry... ssn: 700-82-9042, edad: 76, temperatura: 37.1, ritmo cardiaco: 73, presión arterial: 192, dispositivo: 86787690
[25/05/2023 22:37:32]: Carolyn Henry... ssn: 700-82-9042, edad: 76, temperatura: 33.8, ritmo cardiaco: 110, presión arterial: 136, dispositivo: 86787690
[25/05/2023 22:37:37]: Carolyn Henry... ssn: 700-82-9042, edad: 76, temperatura: 33.6, ritmo cardiaco: 76, presión arterial: 131, dispositivo: 86787690
[25/05/2023 22:37:42]: Carolyn Henry... ssn: 700-82-9042, edad: 76, temperatura: 33.2, ritmo cardiaco: 122, presión arterial: 121, dispositivo: 86787690
[25/05/2023 22:37:48]: Carolyn Henry... ssn: 700-82-9042, edad: 76, temperatura: 33.5, ritmo cardiaco: 64, presión arterial: 194, dispositivo: 86787690
[25/05/2023 22:37:53]: Carolyn Henry... ssn: 700-82-9042, edad: 76, temperatura: 35.6, ritmo cardiaco: 75, presión arterial: 192, dispositivo: 86787690
[25/05/2023 22:37:59]: Carolyn Henry... ssn: 700-82-9042, edad: 76, temperatura: 33.0, ritmo cardiaco: 104, presión arterial: 123, dispositivo: 86787690
[25/05/2023 22:38:04]: Carolyn Henry... ssn: 700-82-9042, edad: 76, temperatura: 34.1, ritmo cardiaco: 146, presión arterial: 169, dispositivo: 86787690
[25/05/2023 22:38:09]: Carolyn Henry... ssn: 700-82-9042, edad: 76, temperatura: 35.5, ritmo cardiaco: 128, presión arterial: 134, dispositivo: 86787690
[25/05/2023 22:38:15]: Carolyn Henry... ssn: 700-82-9042, edad: 76, temperatura: 33.3, ritmo cardiaco: 107, presión arterial: 132, dispositivo: 86787690
[25/05/2023 22:38:20]: Carolyn Henry... ssn: 700-82-9042, edad: 76, temperatura: 36.5, ritmo cardiaco: 94, presión arterial: 115, dispositivo: 86787690
[25/05/2023 22:38:25]: Carolyn Henry... ssn: 700-82-9042, edad: 76, temperatura: 35.0, ritmo cardiaco: 149, presión arterial: 103, dispositivo: 86787690
[25/05/2023 22:38:31]: Carolyn Henry... ssn: 700-82-9042, edad: 76, temperatura: 35.6, ritmo cardiaco: 74, presión arterial: 192, dispositivo: 86787690
[25/05/2023 22:38:36]: Carolyn Henry... ssn: 700-82-9042, edad: 76, temperatura: 38.7, ritmo cardiaco: 142, presión arterial: 167, dispositivo: 86787690
[25/05/2023 22:38:42]: Carolyn Henry... ssn: 700-82-9042, edad: 76, temperatura: 33.8, ritmo cardiaco: 73, presión arterial: 104, dispositivo: 86787690
[25/05/2023 22:38:47]: Carolyn Henry... ssn: 700-82-9042, edad: 76, temperatura: 35.4, ritmo cardiaco: 68, presión arterial: 199, dispositivo: 86787690
